,Text,Level
0,"My first child was born just as I was about to be elected onto the Greater London Council, and the others followed in quite quick succession. My wife and I vowed that we would carve out time for them but since I have become more and more politically active, time has become a real problem. 
I make it a condition that I will only accept weekend meetings and public appearances where there are facilities for one or more of the kids to come with me. If I did not they would just get squeezed out. This way they have a sense of what I do when I am not with them and there is no feeling of Daddy disappearing.
I've noticed more and more MPs bringing their kids to the House. Maybe we are all becoming more conscious of the need to involve our children in our lives.",4
1,"Cartoon films have very few limits. If you can draw something, you can make it move on the cinema screen. The use of new ideas and advanced computer programs means that cartoons are becoming exciting again for people of all ages. 
By the end of the 1970s, the cinema world had decided that cartoons were only for children. 
But soon afterwards, one or two directors had some original new ideas. They proved that it was possible to make films in which both adults and children could share the fun. 
However, not every cartoon film was successful. The Black Cauldron, for example, failed, mainly because it was too frightening for children and too childish for adults. Directors learnt from this mistake, and the film companies began to make large amounts of money again. 
",2
2,"Nick Barlow loves his work. He's a British actor and he travels around the world making TV programmes. 'People welcome me everywhere I go and when I get home I remember all the wonderful things that happened in each country.' Nick has travelled to many places but there are a few trips that he would still like to make. 'I'd love to visit South America and go back to Australia one day,' he says.
On each trip, Nick travels with a team of people. They bring the cameras and other filming equipment needed to make the programme. Nick doesn't take a lot of things for himself, just a few shirts and trousers, but he always makes sure he has some books in his suitcase.
Nick's wife, Helen, doesn't mind him travelling for his work. She has a lot of friends and keeps busy. When he gets back, she likes to listen to all his travel stories. But sometimes there are problems. When he was in the Malaysian rain forest, Nick heard that his wife was ill in hospital. 'I felt terrible because I couldn't help, but she didn't want me to come home. I was so happy when I heard she was better.'",1
3,"Richard Cork recalls how, as an 78-year-old student, he came face-to-face with one of the most revered artists of the century.",4
4,"Dolphins hold a special place in our affections. They are among the most intelligent animals we know, they are sensitive to human emotions, and they allow us to dream of wonderful freedom out in the wild seas. 
This love affair has been encouraged by TV. First there was Flipper, and now there's Darwin, the star of Seaquest. However, these happy portrayals hide the reality of life for dolphins in the polluted and overfished seas of the 
late twentieth century.
The population of North Sea harbour porpoises (one kind of dolphin) is estimated to have been reduced by up to 89,000. You may expect such popular animals to be protected by law and taken care of in special marine reserves. This is not the case, however, and the lack of plans to look after them may become one of the biggest wildlife disasters of our times. 
Forty different kinds of dolphins are recognised worldwide. In the waters of northern Europe, the greatest number of dolphins are the striped, the common, the bottlenose dolphins, and the smaller harbour porpoise. The first two generally live far out in the open sea. They are normally seen only in small groups, flashing quickly past ships, and we know very little about them. 
The large grey bottlenoses and harbour porpoises, on the other hand, were once a common sight near to European coasts. Bottlenoses are particularly social and used to be found on the Channel coast and in river mouths in Britain, including the Thames. Resident populations can nowadays be found only in the Moray Firth in Scotland and Cardigan Bay in Wales, and the skin injuries found on the few that still remain indicate that they are suffering from stress. 
The complicated habits of the dolphins make it difficult to decide on the exact reasons for this reduction in numbers. The overfishing which is dramatically reducing the world's fish stocks and which is threatening to destroy local fishing industries, also threatens porpoises and dolphins. This is because porpoises have to find their food within a limited time. If fish in one area are removed by fishing, they may not survive long enough to find food elsewhere. 
They are also in danger of getting caught in fishermen's nets which are thought to be invisible to them. In many modern fishing methods, huge nets are left to float or are pulled at great speed through the sea. In recent years, hundreds of dead dolphins have been washed up on the beaches of France and Cornwall. Marks, ropes and cuts on their bodies show that the main cause of death was the fact that they had been caught by such nets. 
Waste and other substances found in the sea can be stored in the bodies of dolphins. One example is what happens with pesticides: these poisons are soluble in fat, which means that the dolphins can digest them and they can build up in their bodies. The females then produce milk that is rich in pesticides, thus passing the poison in a concentrated fashion on to their young. There is already one recorded case of a young dolphin being poisoned and killed by its mother's milk. 
But perhaps the most controversial threat to dolphins is the one posed by human disturbance. Dolphins live in groups and receive information about much of their world through sound. In the sea, noise pollution - from ships, oil wells and so on - is transmitted four times more efficiently than in the air. This may disturb the dolphins in ways that we do not yet 
understand. ",3
5,"The school's swimming instructor was an ex-drill sergeant, small and muscle-bound, with tattooed arms. When I asked him to teach me how to dive, he told me to sit on the pools edge, put my hands above my head and roll forwards, pushing myself off with my feet. I practised that manoeuvre until the hour was up. The next visit, he got me standing upright, and diving off the edge. The instructor was a martinet and every time I surfaced he looked at me with distaste: 'Don't look down, look up!' 'Keep your legs straight.' 'Point your toes I said!' The next week, I went up onto the high board. It was a fixed board and its front edge bent slightly downward. It seemed outrageously high as I stood there, trying to work up my courage. Gradually the echoing voices disappeared and I felt as if I were cocooned in silence. I waved my arms vaguely in the way I'd been taught, tried to look up, not down, and launched myself into space. For a brief moment, I was flying. When I hit the water, I crumpled ignominiously, and my legs were all over the place. The instructor looked at me with contempt and shook his head. But even he could not diminish my euphoria. That's what they mean by 'free as a bird', I thought.",5
6,"Richard Nerurkar, one of Britain's top 10,000-metre runners, visits the Kenyans' high-altitude training camp.",4
7,"B.
John van Maurik, director of a Leadership in Management course, says, 'Most people have a far greater potential for leadership than they realise. The process of becoming a leader is recognising those latent talents, developing them and using them.'
In one sense, we are all born leaders - we just need the right circumstances in which to flourish. While it's quite easy to recognise leadership in the grand sense -- be it in the form of figures like Emmeline Pankhurst, Mahatma Ghandi or even Richard Branson - it may be more difficult to relate it to our own workplace. And yet this quality is now regarded as the cornerstone of effective management.
 ",4
8,The soles 1940 Oil on canvas Scottish National Gallery of Modern Art,5
9,"Emma and her friends are pursuing a holiday game -- surveillance of a suspicious bookshop -- when she realises that one of its rare customers is her
Uncle Jim.
He callously draws her into a web of deceit and crime, manipulating her affection for him and attempting to alienate her from her friends, whose characters are persuasively drawn by Coppard.
When Emma finds her life in danger, things take a dark and compelling turn - her confinement in the cellar of a derelict house is stunningly handled.
This book reveals the minutiae of family life, the bonds of childhood friendship and warns that adults aren't always the protectors they ought to be. A vital and convincing read.",4
