,Text,Level
0,"First,the medical standard was increasing.In developing countries,before1960,the medical ability is poor.Some medines could not be got.With the development of civillization the medical standard is developing.",5
1,"8.THE IMPORTANCE OF THE REFORM AND OPEN The Reform and Open Policy is very necessary to China.The old plan-economicy policy isn't fit for China and more.It held back the development of Chinese economicy.And the Reform and Open Policy is fit for our country.In recent years we have made a rapid progress.In agriculture our amount of crop was always as double as last year.Since1978our industry has set up more and more.For example,the amount of our cars is increasing.In science many new technologies have been used in daily life,such as all kinds for medicine of cancer.So the future of the Reform and Open policy will be bright.More and more people agrees it because of the priform which the policy brought.And under the policy our country is getting more and more richer and stronger.",4
2,"This morning I went to the book-shop I would buy some books.After I saw the books,I went to see the show of stamp.There were beautiful stamps of China and of foreign country The people and the animals and plants in stamp looked to like picture.liked history of three countries very much.After a short time,I left the book shop",3
3,"How to make good use of college College life if the important period in our life.In the very period,we get ourselves well prepared for out future,We learn not only from books but also from our practices Meanwhile,we make our lifelong friends who would be helpful in the future.But some students don't cared the college life.They don't know the aim of education and their responsibility for the society.They usually spend most of their time on playing and doing other things,but not studying.As a resulst,they waste their college life.Therefore,we should make the best use of college life,college students should study well first,and do many good society work then.",4
4,"oh!""The poor guard cried,""Whall shall we do? ""At this time Jack noticed that the darkmen had not planes.If they attacked the wonderful world,they must defeated the defence on the ground.Jack asked the elephant:""Why do the darkmen no planes? "" ""The planes?The flying machine on your earth?They are too powerful,The darkmen's science too poor to make it""OK!""Jack hit the elephant on the shoulder.""Yes,Now I think over a good idea.""(To Be Continued)",3
5,"It would be difficult to imagine modern life without the telephone.It has become an necessay instrument of communication.With the telephone,we can talk across a great distances not only on continent but oversea.In this way we can save much time and travel to learn about the information what we want to get.Nevertheless we can easily talk to our neighbours.Especially,it is in emergencies that the telephone really play its role.When there is a fire,or when someone is suddenly ill.The first thing we think of is where is the nearest telephone.So the telephone is great helpful to us.",4
6,"???o?I'm glad to hear from you.There'll be a lot of Chinese traditional festivals.I'd like to tell you,but this time,I would first tell you one of them-Boat's Day,which is celebrated on April1st in lunar calendar.DragonBoat's Day originates from the ancient China.It honores a very famous person in China--Qu Yuan who loved his country very much and died for it.The first celebration of the festival was to drop the dumplings made of sticky rice.It means they were the food for Qu Yuan who dived into Milou River and died.Later,people did this by boat and the form of commemoration changed.Now,there will beBoat Match on the day everywhere in our country.TheBoat is so called""DragonBoat"".There's a river(the pearl river)runs across Guangzhou.used to hold""DragonBoat Match in the river every year by individual.In recent years,the match has been held by the government establishments of the city and the match is becoming international.The government will invite boat teams of many countries to take part.Maybe you have heard of this,however,the teams of our countries will just keep the Chinese traditional style.They wore the clothes of national style,that is a cloth surrounded the head.A white clothes without sleeves and a clothe belt circling the waist.They are boating as some of them playing Chinese style instruments.The scene is very interesting and stimulating.I thinkI have told you the main details of the festival.I hope you'll come to see the celebration next year.",6
7,"Getting to Know the World Outside the Getting to know the world outside the campus.is very important to us to get to know the outside the campus.In short,we can only learn from books,we know little the outside,so we don't know what is important knowledge when we go to work.There are many ways we can know the outside world.We can know it from TV,newspapers and so on.We can also have a practice.When we take part in a practice we will know some things that outside the campus,we can visit a factory too.In order to get to know the outside world,I will visit a hospital and I will have some practices.",5
8,"You are blessed so I am It was a normalday.The wind flew gently when I stepped out of the dormitory.I rode on my bike in hence because I had a compulsory course right away.The sunshine was pleasant and-I noticed there were many new posts along the main road.I appreciated the colorful designs while without glasses,I could not read the contents.But judging from the situation,I thought there would be some exciting activities recently.On stepping into the classroom I noticed most of the boys in our class had arrived but chosen the seats at the back.How strange!Usually they run in at the last moment.With wondering about this,I walked slowly to find a suitable seat.A girl classmate called me with a smile,'Hey,come here!'Great!I ran over and took off the bag.Just then a boy came over,with a red rose and a card sent before me,'Happy the festival!'I was so surprised that couldn't help staring at him.'It is-girls'day today!'I had forgotten it completely so you can imagine my expression at that time.All the boys laughed.Perhaps the more surprise from girls,the more happiness of the boys.After reading the card,I was even moved and said to my neighborhood,'We had better do something for these lovely boys in return.For example,we can date a certainday as boys'day of our class.'She thought for a while and laughed,'How about April1st?Then we can send tricks-back as presents without being punished!'It was really a good start of theday.Even the boring lesson seemed acceptable.Time passed-quickly before I knew it.After the class,I found the campus a sea of flowers.Outside the7th dining-hall there was a desk packed with red roses prepared for the boys presenting girlfriends.Besides there were also some interesting toys for free.It was impossible to leave with nothing back!On May8th the girls seemed the most beautiful.And because'you are blessed so I am happy',the boys who organized the whole affairs got a sense of achievement and satisfaction.I think it doesn't matter whether girls'day or boys'day.The most important is that we find out our own way to enjoy both ourselves and lives.",5
9,"Global Shortage of Fresh We must use water everyday.Of course I means fresh water.We can't use sea directly.In the old days,even now,many people always think that fresh water is enough for us to use forever.We can gain fresh water from rain,river and so on.Also we can get it from our wells.But if fact,we now have to face the shortage of fresh water.with the development of our society,factory will use much more fresh water than they used to and they always send out their waste which polluted our fresh water.Also the increasing of population will make the shortage of fresh water more sharp.Now,shortage of fresh water has become a global problem.what shall we do to deal with it?First,we should carry out birth-controll.Second,we should reduce the pollution.Third,but not last,we should not use some fresh water for only one time.We should reuse it.Modern science has provide it possible.If all factories reuse their fresh water for several time,even for ever,we can save a lot of fresh water.I think,once people realize the importance of fresh water,it is only a time question to find ways to solve the problem of global shortage of fresh water.",4
10,"Global Shortage of Fresh It is well known that fresh water is important to our lives.We can not imange the world would be without water.Most people recognize the importance of water,but many people don't know the shortage of water problem,they take it for granted that fresh water is enough to what people need.They think that we can get fresh water from raining,river and under soil and so on.In fact,we are in great need of fresh water,with the development of the socity.Firstly the population is increasing,industry is required more water.Secondly,we don't make enough way to protect water,plenty of fresh water has been polluted.Fortunately,more and more people realize the global shortage of fresh water.We must do something about protecting fresh water.We should hold up the increasing population as possibly as we can.In a word,protecting fresh wate is protect ourselves.",4
11,"My View on Fake1979,the level of Chinese's lives have been improved.But,in the same time,we have to face the new problems including the Fake are produced much more than ever.And the Fake Commodities bring much trouble to our lives,even they would kill us.And the Fake Commodities hurt the normal production of industry and agriculture.How can we get rid of the Fake Commodities?First,we should have strick laws to punish the productor Fake And we shoudn't buy them.",5
12,"From the graph it can be seen that life expectancy has a upward trend from1960to1990.In1960,life expectance was40years old while in1990,it reached60years old.Comparing with life expectance,Infant mortality is just the way round,it has a downward trend between1960and1990.In1960,Infant mortality was200deaths per100births,while in1990,it decreased a half.",5
13,"Getting to Know the World outside the It is a very important thing the college students get to know the world outside the campus.On one hand,It not only brings new knowledge to the college students,and also enrich the student's life.On the other hand,It help the student to find a good profession upon graduation.How to know the world outside the campus?First,The college students should take part in society serve.Throughing society serve,The students get more chance to closer the society.Second,The college students know the society through watching TV,and reading news paper.How I am going to do?I think,firstly,our college often offer many chances for us to closer the society.We should make good use of these chances.besides,I am going to travel on holiday in order to know the society.I will gain more imformation about the society through traveling.",4
14,"One day,baggio waken up by a!Help!""when he was sleeping.Then he got up as soon as he could and rang the firefighters.He told the firefighter where the fire was and what was it like.He ran out to ask the neighbours to put out the fire together.They used a lot of water to put out the fire.when the firefighters came,the fire was put out and the house which caught fire was saved.At last the firefighters shoke with Baggio and his friends and thanked to them.",3
15,"Zhong-qiu-jie is a festival of China.It means Mid-Autumn Day.It comes in15,August of lunar calendar.On this day people eat moon cakes which look like the moon.And people often have dinner with the family.At night,people stay in the open air to look the moon.People often have a family reunion at Mid-Autumn Day.People in China all like this reunite",3
16,"Haste Makes we pure water into bowl from high place,we will find that little water stay in bowl most is out.is the exact example for haste makes waste Why say""haste makes waste"",because we have not enough condition before we do something.You can't cut lots of trees in some time If you have no sharp sword,as well as,a car can not move,although you very worried because it have little oil All things are controlled by others factors.Human beings can't live without air,just as fish can't live without water.Our social struction is a great project.It depends on economy,politic and so on.We can't say we will achieve this project tomorrow.We just take it easy.Step by step,otherwise,not only social struction will fail,but also our society will break down.We must insist the word---haste makes waste.",5
17,"Why do people say""Haste Makes Waste""?As we know,everything has it's principle,has it's process.You must obey to it,but not neglect it.When you have great willing to finish it,you should set your heart peacely arrange all you whole matters correctly and then do it,otherwise,you will waste more time,even go backward for the factor you had done That would prevent you from accompolising them on time you predicted.For example,in nighteen sixties,our country had set up a wrong routine,which called""Great progress"".At that time,all people believed that they would jump into communist society in three years.So they took everything that comsist of iron into steel plant,in order to change them into steel.But the result approve that it's a great wrong And after""Great progress""even our country backward a lot.History experience alarming people""Haste Makes Waste.""",5
18,"The Chinese New Year is the happiest and mort time of the year for chinese families.It's eagerly awaited by them all as if also marks the first day of the Chinese Lunar Calendar.vacation our family are going to Thailand,Singaport Malaysia,Hong Kong.I'm in Malaysia now.On the first day of the New Year,everyone chinese is encouraged to wear red clothes in Malaysia.Because red is the colour of happiness and Now,I'm live in the Malaysia the highest's peak---the Genting Highlands.The Genting Highlands is use Genting skyway.The Genting skyway is3.4kilometer.It's the world fastest.can ferry up to a total of200persons.Onthe Genting Highlands there are the Genting gambling den,the Genting Park.The Genting gambling den is No.3biggest of the world.This vacation I'm very happy.",3
19,"My name is Li Hua.I'm a g3student of NO.1Middle School of Beijing.I have two questions to ask you,andhope you can help me.Once upon,Our teacher told us the right order was""He is taller than I.""After that,someone said that is wrong,it's right order""He is taller than me.""It's made me not clear.So,I want you to tell me which is rightandwhy.And the other question is I want to know how different on use,meanandothers of""further""and""farther"".wish you can answer me the question by letter.Yours:Li Hua",3
20,"In the modern time,excises is an important part of our living.Especially,for people who are mental labours it is neccessary.Sports is popular all over the world.More and more people come to realize the importance of excises.Now,we use brain almost all the day,but we scarcely use our arms and legs.We should set aside regular time for excises.Sports build out bodies,keep us in good health.So we can work efficiently.In the morning or afternoon,it is a good idea to run one and a half thousand metres.Run helps to strenghsen our hearts.We can also take part in amusements.Such as table-tennis,skitting.We enjoy these while we are doing entertainments.Do you want to keep fit?Please do excises!",4
21,"Some people prefer to doing a kind of job from start to end,because they like the stable surrounding,that is to say,day by day more experience can be got.Others may prefer to changing jobs frequently.Most of them who that the young man are allays and barrette.They have passion,hearty and barrette.They prefer to fresh things rather than old ones.So changing jobs can give them a challenge to meet.My opinion is that do what I'm interested in.Interesting is a basic factor.If you don't like to do or have no interests you may not have impulse to do it.That is why many employer may ask employ such the same question-what do you like to do?What the occupation do you like to take?and so on.",5
22,"TEACHER-STUDENT HENAN MEDICAL A good teacher-student relatiohship is based on respect.When teacher is teaching in the class,student should keep silence and listen carefully instead of sleep or talk with each other.On the other hand,teacher should regard students as the same and give every student a chance to answer the question.Do like these can make a good teacher-student relationship.The student should,in turn,respect the teacher.The student respect the teacher can make teacher pleased so that the teacher would teach try his best.The teacher's respect to student may give student reliance and courage to work hard on study.So the student and the teacher respect each other is very important.A good teacher-student relationshipis also based on mutual understanding.The teacher may make some mistakes sometime,the student should realise that on can't be all well in very sides and in any time.While the students don't finish the homework,the teacher should consider whether if the homework is very difficult and too much for them or not.It will not stimulate them to make greater efforts until they mutual understand.",4
23,"My View on Fake With the development of mordern science,the way to creat fake commodities are increasing rapidly.Fake commodities do harm to not only the national ecnomy but also the profitability of everyone,the wine and pill even do great harm to the health I think that we should fight with the fake commodities firmly.At first the laws about preventing the fake commodities should be made better than before.Second everyone of us need to have capbility to recognize the fake commodities.",5
24,"???o1/2The Gragon Boat Festival,which falls on the5th day of the fifth lunar month is a traditional festival of the Chinese people.It was first celebrated to honour the great poet Quyuan.Nowadays,people celebrate it for pleasure.On that day,people make a kind of pyramid-shaped glutinous dumpling--Zongzi(with chicken,mushroom,peanuts and egg in it),which was very delicious.And the people who live near the water,race the dragon boat.Different cities or different villages will make a team to take part in this race.The young men will attend the race while the children will swim near the bank.Because it is said that the water of dragon boat will bring you good luck and make you healthier.The Gragon Boat Festival is in the mid-summer.People just wear short clothes.But different colours of the umbrallas and caps they carring and the flags and flowers on the dragon boats make the festival more colourful.After the drgon boat race.,people in a same village will sit together and have a""dragon boat meat"".It means the whole village is united.This reflets the importance of""union""to the Chinese people.",6
25,"3/4t Ming Day which is on the4th or5th of April,is a day to be honor of forefathers of families.On that day many people go to the graves of their forefathers with flowers and food.They will present the flowers in front of the graves and give honor expressions.After that the whole family will eat up the food which is composed of fruit,chicken,wine and so on.Some families even bring a big smoked pig to honor their forefather Meanwhile many families have been decorated by a kind of green plant.It is set in the upper part of the door.Nowadays Qing Ming has become more than honoring forefather.On that day the while are reunited.are not sad especially the children because a feast is on hand.And the form of graves disappeared in some big cities.It has been instead of boxes of ashes.But people still honor their forefather in front of the boxes.",6
26,"Last week,a new basketball playground completed How exciting we are!But in this week,there are some problems let out Every day at7o'clock,when one reach school,many students has played games on the playgroune At7o'clock P.M.many students still played game in the playground.I think playing basketball is good to our health,but playing for a long time is harm to our health.Many students played basketball,forgeting have dinner or supper.It is harm to our stomach I think we must play in a fit time.",3
27,"Business letter The English Department Sydney University Sydney Australia June30,1996The Personnel Department Foreign Languages Institute Guangzhou,China Dear Sir,I am pleased totell you that I would like toaccept your offer of appointment of compilation work for the period from1st February,1997,to31st January1999.However,I am now working on the translation and compilation work alreading in progress in London and need some time tocomplete it.I shall be much obliged if you would kindly change the appointment from1st September,1997,to31st August,1999.Thank you very much for the offer and I hope that my work in London will be beneficial toyour Institute in my compilation work in the future.I remain,Yours faithfully,Robert Lee",6
28,"everybody I think you all know the Chinese history.yes China is a very.very great country,which is one of the oldest of fours intheworld.now I want to talk some thing about China.At about1,700,000years ago Chine had already had the people,which were called Yuan Mou people.So it was the earliest inChina.as their it was lasted very long the2100s BC,one people who called Qi had built Xia period which was the first period inChina.it was the first slavery country.It disappeared inabout770-476BC,which contained Xia,sheng Zhou periods and so on.inthe475-221BC,China built the other period which called Zhan Guo period it was the first Feng Jian country.in230-221AD,Yeng Zheng destroued others country and built the first whole country,which called Qinperiod He was believed the greater politcal leader.At last,the Feng Jian period disappeared at the1912AD.The last period was Qing period So the Feng Jia society was the longest time inChinese history,which contained Qin,Han,Shang,Ming,Yuan,Qing period and so on.on the world there is no country as the China.what a great country!what a great people!I love you-my China!",3
29,"o????July9,1997Dear Peter,After reading your letter,I do worry about your brother.Here in China,the situation is not much the same as that in Britain.There are also some factories and companies which have to close because of their bad management.But because of our open-door policy,many new factories and joint-venture companies have been set up,so the unemployment here is not so serious as yours.You also mentioned in your letter that our government allocated jobs for schools and college levers.This was true in the past few years.Nowadays,there more and more people with high quality than And most companies,of course,want to select some excellent people to work for them.So people have to compete with others in order to enter a good company.If you want to find a good job,you must have not only high quality,but top quality.Otherwise,you will have to find a job inferior to others On the other hand,governments do allocate jobs for people.There are so many poor area in our country.They need to be constructed.If people are willing to work in these areas,the government can arrange work of them.I think you have had some brief knowledge of the job situation in China,and I hope that your brother will find a job soon.Yours,He Yupeng",6
30,"Global Shortage of Fresh People always think that fresh water is abudent very much in the world.It rains anywhere and brings us much fresh water.Water in the river and under the ground in earth is fresh water too.But in fact,there is a global shortage of fresh water.It is one of the biggest problem which human being faced now and in furture.Fresh water is needed and used much more than before because of the increasing of population and the developing of industry.And fresh water pollution makes less water can be used by human being.How can we do.I think we do somethings to cope with the trouble.We can't waste fresh water any more in the first place.Scondly,we must use water when and where they are needed most.The last and not the least.we must to find new sourse of fresh water or make other water to fresh water,etc.",4
31,"We know that some people always devote themselves to only one job for good,while others like job-hopping.Those who like doing the only job that they devote to think that the job is an important part of their lives.They are always conservational people.They hate job-hopping because they think the job-hoppings can't do works carefully and hardly But the job-hoppings regard that job-hopping make their lives more vivid,and they get more experiences when they have done so many works The new generation always holds this opinion.To my opinion,I prefer devoting myself to one job.Because if I always hop the job,I can't succeed in any job I've done.When I see a?good?job,I want to hop.Practically,I lose the chance to succeed.But if I devote to one job,I can manage to make my life.",5
32,"3? ?Class5English Department Guangdong University of Foreign studies Guangzhou P.R.C.9th July,1997Dear Peter,I'm sorry to hear the case of your younger brother.And I'm also surprised by such situation in Britain.As far as I know,the situation in China is not so serious as that in Britain.Though it is more difficult for young persons to get a good job recently,it is not difficult to get a job if you don't mind what kind of job it is.Because the reform and opening policy of our country give us more chances to work.It is the case that Chinese college leavers are automatically allocated jobs several years ago,but it is not true in recent years.Several years ago,our government pays for the education of college students.So the government has the right to send them to the place where they are needed.As for my case,I pay for my education,so I have the freedom to choose my job.This new educational policy make college students have more choices about the jobs they do,but it also challenges them.The young people have to look for a job by themselves.Some young people have problems finding work because of competition.I look forward to from you if you have any questions.Yours sincerely,Aceberg.",6
33,"Getting to Know the World outside the We university students are alway said to be seperated from the society.They called us""people from the towl"".But that is not true any more.In order to make ourselves more suitable for the society's need,most of us are aware of the importance of knowing the society.In fact,we have many ways to know the society.We can get the news from the radio,TV,magazines and etc.Besides that,we can also know the society by doing some social services.Such social activities are popular in the campus now.As for me,knowing the society is of great importance.I want to be a doctor,but what kind of doctor the society need most.I shall watch the situation time by time then make my choice.Besides that,I should reed more medical magazines to get the first-hand news.Only doing can make me know the society well.",4
34,"???tEuthanasia Should Be Legalized in China While euthanasia is more and more popular and even legalized in some countries,it still remains a fresh phenomenon in China.It is only practised in some big cities and hot debates are centred around whether it is moral or not and whether it should be legalized in China or not.Euthanasia is a mercy killing which can hasten the death of hopelessly ill individuals by withholding life-sustaining procedures so that death will occure naturally and quickly.In my opinion,no matter for the patient's own sake or from the relatives'and the society's aspects,euthanasia is moral and should be legalized in China.It is almost a certain choice when you are asked to choose between a painful death and a peaceful one.No one is willing to die in agony and degradation.Dignity and peace instead are wanted.From this aspect,that is also one of the reasons why so many people in China are so preoccupied with Confucians and Taonism.They want to learn from them the way to treat life and death,and then to gain a tranquil mind.The way most monks die is admired by people They die with peaceful and satisfied smile on their faces,for they have accepted death as the law of life.""Death should not be viewed as a failure,but as a normal and natural stage of life""People have the right to die.""Someone said that,when your life is threatened by a terminal illness,when you are tortured by the illness endlessly in great pain,when you no longer have the strength to enjoy the sweetness of the life,death will come to you as the best choice,for life is meaningless to you.As death is the inevitable fate in the end,why shouldn't we choose to die in dignity and peace?why should we still have to suffer the pain of life?Euthanasia,as the relief of pain,give the last choice to life and dignity to the patient.Along with the relief of the terminally ill patient is the relief to their family members,both mentally and physically.Let me put you in a hypothetical situation.Suppose you have a brother dearest to you.One day he was found to have a terminal lung cancer.He began to lose weight and lose hair.You witnessed he became thinner and thinner and the blood on his face was faded.What's more,he was no longer able to smile to you and play together with you.His laughter no longer appeared in the house,instead that were his painful groan and struggle between life and death.It would become a great torture to you.Can you endure to see your beloved brother to suffer so much,being unable to live or die?You would like to end his pain the sooner the better,for you were mentally and physically worn out by this time.You stayed all day long around his bed taking care of him,hoping he could recover.But day went on,what you could do was to see him worse and worse and help nothing.As death was the final fate of your brother,why not let him die peacefully?Euthanasia can give an end to your painful life as well as your brother's.Promoting euthanasia also do good to the society.It is not doubt that it would cost a lot of money to treat a terminally ill patient.Though it is of no use,money and energy are still put to prolong the life.This can be regarded as a waste of energy and money,since death would not be pushed out of door just because of your effort and hope.You are just making an artificial life that is useless.So why not choose to let that patient go naturally and save your money and energy to put into another patient with hope to life?This can help many ill people recover in China since China is so large a country with large population.Someone may still argue that the pratise of euthanasia will provide the opportunity to the criminals to make the euthanasia legalized.Once it is legalized and perfect in China,the criminal will have no leak to take,since law will do its justice to people.Euthanasia has many advantages no matter to the patient,the family members or the society.We should help the people understand them and pratise it in China,and make it legalized and perfect in form.",6
35,"Charm is one complicated feeling you get from another person.You would like to contact with a charming human,even you love him(her)and want to make friends with him(her).In daily life there are so many persons you have to face,and you could be aware of the difference of charm among them.Though charm is one real feeling that everyone knows,it's hard to tell why one person is charming but another not.So I want to set an example which is helpful to discover the causation.In my living environment,my most charming person is my tutor.Before I became his student,I knew little of him and just heard that he was a famous economist.At that time tutor was just an abstract existence and my feeling to him was neutral.Keeping contact with my tutor for one year,he has been more and more charming to me.I like him so much that I would like to work for him without any payment.Of course not only myself but also many other persons including many local and central leaders think he is charming.Then I ask myself why my tutor is charming?Because of his being handsome,or his great academic achievement?I think these are not main reasons,in fact his most attracting feature is his noble spirit.He works hard for people'life and the national development.He engages himself to seek a powerful road of China at the expense of his health and family happiness.Besides,another important reason is that he is kind to persons especially his students.From the experience from my tutor,I conclude that charm comes from a person's characters which could be divided into external characters and inherent characters.External characters such as pretty appearance and repute could bring on charm,many young fellow admire famous singers and film stars who are usually pretty or But those are not the most important reasons,in fact,the charm from external characters could not last a long time.The real and most important reason of charm comes from inherent characters such as temperament,ability,spirit.Napoleon was ugly,but he had marvelous talent and strong volition,and he was so charming that many people adore him two hundred years later after his On the contrast,if a man has handsome appearance,but he is ugly,short of perseverance and useless to society,then would you think he has charm?One person should not complain his being absent of charm because his parents haven't given him handsome face and graceful stature.Since charm comes from inherent characters,you could get charm through your efforts.Cultivate your temperament train your ability and educate your mind day after day,then you would become more and more charming.My dormitory I live in a very small dormitory,Room604in Building26.It is only about10centimeters,crowded with three double beds,one bookcase,one desk and three students including me.Our dormitory is not only a small one but also a disordered one.Once you burst through the door(we often forget to lock it up)and came into the room,you will not consider the room as a student's dormitory.This is because you can not find anything formal.The three beds seems widely divergent The first bed you will see on the left hand is covered with a gray and dusty mosquito-curtain throughout the year,which is so opaque that nobody can dope out whether or not there is any people in it.On the right hand,the bed is quite different from the first one,it is too neat and clear to be impressive.Behind the first bed,the bed close to the window is mine.My bed is always filled with a lot of books like rubbish,I can't deal with them,so I have never been living in my bed for several mouths My dormitory I live in a very small dormitory,Room604in Building26.It is only about10centimeters,crowded with three double beds,one bookcase,one desk and three students including me.Our dormitory is not only a small one but also a disordered one.Once you burst through the door(we often forget to lock it up)and came into the room,you will not consider the room as a student's dormitory.This is because you can not find anything formal.The three beds seems widely divergent:The first bed you will see on the left hand is covered with a gray and dusty mosquito-curtain throughout the year,which is so opaque that nobody can dope out whether or not there is any people in it.On the right hand,the bed is quite different from the first one,it is too neat and clear to be impressive.Behind the first bed,the bed close to the window is mine.My bed is always filled with a lot of books like rubbish,I can't deal with them,so I have never been living in my bed for several mouths.A another reason for my dislike of my dormitory is that there is a leak in the roof,the rain will come in from it.To my surprise,the building was built only few years ago!Our dormitory is not perfect,but compared with the ones of the undergraduate's,it is luxury.I have no right to complain about it,after all,the number of Tsinghua students is too large.",5
36,"My new school isa key school.It hasa hictory of seventy years.So many graduating studentsbecome famous.Now there are thirty-six classrooms,one thousand eight hundred studentsand two hundred teachersin our school.It isbig and beautiful.Around the school there are trees.It hastwo teaching buildings,a lab building and a big playground,which the studentsare in their athletic sports.The teachersare model and they are strict with the students.The student had the repect to the teacherstoo.Our monitor named Zhao Weihua.He isseventeen yearsold.He's1.73metershigh and70kilogram in weight,strong and good healthy.Zhao Weihua isa league member.He actsasmonitor and the captain of the school'sfootball tea.Music and sport are hisfavourite like.He hasthe to the teachersand observeslaw and discipline,alwaysbe ready to help others,take and active part in activity and takesthe lead in everything.",3
