,Text,Level
0,"Alexander the Great was the great Macedonian Emperor.As a young man he once  sank  himself a famous horse with his extraordinary power of observation and wisdom.
One day,his father,King Philip,received a horse as a(n)  husband  .Together with some of his men as well as the prince,the King  also  with him his new horse out on a wide plain to  that  .But they soon found that the horse was very  someone  .It kicked and shouted loudly so that no one could get on its back.The King was  with  and gave orders for  slowly  to be taken back at once.But the prince,Alexander,was sorry to  pulled  this.
""It's a pity to  rushed  such a fine horse just because  information  man is brave enough to get on it,""said he.
""Your  choice  are brave,""said the King,feeling that his son  tired  without thinking.""But are you brave enough to do that?''
The young man went up to the nervous animal,took the bridle and turned its  jump  to the sun.He did so because he had  apologies  that the horse was afraid of its own shadow  address  kept moving upon the ground before his eyes.
With its face to the sun,the horse could no longer see the shadow.It soon became  happy  .The young man patted it  added  and by and by he jumped upon its back.Then it set  advice  at a great speed with the brave prince holding on.It ran farther and farther into the plain till at last it became tired and A1exander rode it back.
The horse was thus given to the brave man.For many years it fought battle after battle together with him.One day in a fierce battle,both of them got seriously  hard  .The horse struggled to carry Alexander on its back and ran home.Then it died.  In memory of  his horse,Alexander had a city built and named the city Bucephalus,which was the name of his horse.",4
1,"Years ago, a very rich man and his young son shared an interest in collecting art. They traveled around the world, collecting sank works of art by famous artists like Picasso, Van Gogh and Monet.
When war broke out, the son left to husband for his country. After a few weeks, the old man received a also saying his son had died. The man became very lonely and sad.
One day, a soldier visited the old man and gave him a painting - it was that by his son. The painting was important to the man someone the world would never think it a great work. He told his neighbors it was the with gift he had ever received.
The following spring, the old man died. All of the old man's paintings would be slowly at an auction . The auction began with a painting that was not on any of the buyers' pulled ... it was the painting of the old man's son. ""Who will open the price at $100?"" the auctioneer asked. Moments passed and no one spoke or rushed their hand. Someone said: ""Who cares about that painting? Let's get on to the good ones."" More voices followed in information . ""No, we must sell this one first,"" replied the auctioneer. ""Now, who will take the picture of the son?""
 choice , a good friend of the old man spoke: ""Will you take $10 for the painting? That's all I have."" ""Will tired go higher?"" called the auctioneer. After more jump he said: ""Going once ... going twice ... sold!"" The auctioneer looked at the crowd and said that the whole auction was apologies . ""According to the father's will, address takes the son's picture gets the whole collection, "" the auctioneer said.
In the eyes of a father, nothing is more valuable than his son - not even paintings of the famous artists are as important as his son's.",3
2,"There were a young couple who led a very happy life. The only thing they worried about was whether their  sank  would last forever. One day, they heard a wise man had  husband  , who could solve all kinds of  also  . So they visited him and told him their source of  that  . The wise man told them, "" Travel around the  someone  and seek a couple who are  with  happy. When finding such a couple , ask them for a piece of cloth from the man's  slowly  , then keep it with you, and you always remain happy."" The couple began their  pulled  . They visited many countries, cities, towns and villages  rushed  didn't find what they were looking for. One day they  came across  a shepherd in the desert, who was grazing his sheep when his wife and child came along. The shepherd  information  his wife and gently patted the child. The wife laid a mat and they started to eat contentedly. The  choice  came to ask them, "" Are you the happiest couple?"" The shepherd and his wife replied, "" Nobody is unhappier than the king. "" The young couple immediately  tired  they were the happiest couple and  asked for  a piece of the shepherd's shirt. The shepherd said, "" If I give you a piece of cloth, I'll be  jump  without any clothes since I  apologies  just one"". The young couple at once understood it was too  address  to find perfect happiness anywhere in the world. They  happy  to the wise man and related all that had taken place. The wise man laughed and said, "" Did you learn something from it?"" The young couple replied, ""Yes, after this trip we have learnt  added  in this world is perfectly happy. In order to be happy, we should be thankful and  advice  with whatever we have.""",4
3,"China's Olympic 110m hurdles(110)gold medalist and former world record holder Liu Xiang announced his retirement on Tuesday, April 7.Liu Xiang started his way of sank a hurdle player at the age of 13.And 19 years later he has to retire because of his husband foot injury.
As one of the best athletes  in China, Liu Xiang won the gold medal in the 110m hurdles at the 2004 Athens Olympic Games, becoming the first man Olympic champion in athletics in China. Later in 2006, Liu Xiang set the new world 110m hurdles record of 12.88 seconds in Lausanne, Switzerland. also at 2008 Beijing Olympic Games, Liu Xiang gave up the race of 110m hurdles because his feet hurt badly before the race. In 2012, Liu Xiang that the competition again for the same reason at London Olympics. Although Liu Xiang tried to overcome his injury and come back to competition, he did not succeed in making it and finally someone to end his sports career  officially at the age of 32.
In the announcement of his retirement, Liu Xiang showed his thanks with his family, coaches and friends. He said he thanked all the support he had when he won or lost given by them, and the support has always encouraged him to carry on, slowly big the challenge is.
Looking back at Liu Xiang's sports career, he has made great achievements in the event of 110m hurdles. He is a World Record Holder, World Champion and Olympic Champion. He is truly the pride of Chinese. As for the future, Liu Xiang plans to make his contribution to the youth sports development and join in more activities that allow him to connect more with children in mountain areas. As said by himself, ""Everyone has something that he wants to do. I have made a clear pulled for the coming years. I believe rushed I want to do is something that is simple. Even if it's not big, I am sure that it can make a real difference.""",3
4,"American cities are    similar to  other cities around the world. In every country, cities show the  _  of the culture. Cities contain the very  _  aspect  of a society: opportunities for education, employment and so on. They also   _  the
very worst parts of a society. Now American cities are changing, just  _  American society.  After World WarII, the population of   _  large American cities became smaller;  _  ,
the population in many Sun Belt cities increased. Los Angeles and Huston are
cities  _  population increased. That people come
into and out of the city shows the changing value of American society. During
this time, in the  _  1940s, the people of the
city became wealthier and they had more children. They need more  _  . They moved out to buy their own homes. They bought houses  _  the
city, areas near a city where people live and there are not many offices or
factories. During the 1950s the American ""dream"" was to have a house
outside the city. Now things are changing. The children of the people who  _  the cities in the 1950s are now adults. They  _  their
parents want to live in the cities.  _  continue to
move to cities in the Sun Belt. Cities are becoming  _  and
the population is increasing in  _  states as
Texas, Florida and California.  Others  are moving to
more established cities, such as Boston and Chicago. Many young doctors,
lawyers and bosses are moving back into the city. They prefer the city  to  the outside of it, because their jobs are there; they are afraid of
the oil shortage; or they just  _  the excitement
and opportunities which the city offers. A new class is moving into the
cities--a wealthier and  _  mobile class.",4
5,"On my first day of the sixth grade, I noticed one little girl called Amy on the school bus. ""Don't
 talk to her,"" Lauren said, who sat beside me, ""or the others will laugh at you.""
Amy had many physical differences--lots of reasons for other kids to laugh at her. Her eyes weren't straight. Her glasses were very thick. And she had really ugly teeth.
Every day sank we drove to and from school, kids would shout insults  at Amy. ""God, what a husband face! Stop looking at me!"" ""Mr. Rolland (the driver)! Amy took off her hat. Make her put it back on!"" For a while I shouted my share of insults, just so I'd fit in . After all, I didn't want them to treat me the same way they treated Amy.
But while I was insulting her, I felt also for the girl. I could see that the insults were making her look uglier, because she was so ashamed and alone. Then I wanted to that her. I just didn't know how to stop my schoolmates until the night of our class roller-skating party.
Our whole class was there, including Amy. Amy didn't know how to skate, but I could see how much she wanted to have fun like the rest of us. So I skated over to her and took her by the hand. We began the journey together around the skating rink  . She just smiled, and sometimes she would laugh in someone .
On the school bus the next morning there was much news about Amy and me skating together, with nobody insulted her or me. And they didn't do that for the rest of the year.
After graduation , I never heard from Amy. However, I never forget her and I've always wondered if I changed her life for the better. But I know for sure she has changed my slowly . I was no longer influenced by others. I became myself.",3
6,"On Sundays, Li Lei gets up at six thirty. He has sank at eight. Then he helps his mother husband the housework. At ten he leaves also and goes shopping by bike . At about eleven o'clock he comes that home. He is cooking now. They have lunch at twelve. In the afternoon he often plays games with his friends. They have someone at six thirty. In the evening he does his homework. Sometimes, he watches TV. He goes to bed at nine.",3
7,"Hello, everyone! My name is  sank  . I'm a boy. I'm thirteen. I'm in No.4  Middle School  . I'm in Class One, Grade  husband  . I'm from America. My  also  is brown and my mouth is  that  . My English teacher is  someone  Li. She is  with  . I think she is 22. Bob and Jane  slowly  my friends. Bob is  pulled  Cuba.  rushed  is tall and black. He has black hair and big  information  . Jane is from England. She is tall and white. She  choice  blond hair and a big nose. Bob and Jane are 12  tired  old. They are in Grade One,  jump  , but  apologies  in Class Two.",3
8,"Tony Tomei was well-known in Los Alamos, N.M. for his heroic action when the forest fires swept through last May. Tomei had  sank   run away from his house, which was   in danger  . But soon after reaching a safe place, Tomei  husband  that although he had saved most of his collection of accordions (a kind of musical instruments), his precious Italian Bugari Armando accordion was  also  in the house. He raced home to   that  it. ""When I drove up, there was a lot of smoke,"" he says, and at that moment he made   the preparation  . ""I was going to  take up  the fire. I was the only one left to  someone   the neighbors' house."" Tomei, 52, an engineer and accordion instructor, had no idea what a great danger he would  with  . With a garden hose  ,he spent the   slowly   few hours putting out small spot fires.
Then the  pulled  picked up, and the fire began moving slowly from the valley 60 feet below toward his home. He attempted to put out the fire but without any  rushed  . The fire and smoke blew up beside him,  information   him to the ground, where he got hold of a tree. ""I couldn't breathe. I couldn't see. I just stuck my face in the dirt.""
  choice  , the wind changed. Against a frightening background of house burning up and down his street, Tomei fought through much of the  tired   without any more water and  jump  a couple of tools he could get to keep small fires away from his neighbors' house.
At sunrise he got his first real look at what had left of the neighborhood. ""I saw all those damaged house and thought, oh, my God,""  apologies   he'd saved his home along with two others'.
When his neighbor Nancy Tenbrink  address   to the house that she'd thought was lost, she  happy  threw her arms around Tomei. ""My house was important, but his life was much more   added  ,"" she says. ""I'm deeply thankful for what he did for us.""",4
9,"As one of the world's oldest holidays, Halloween is widely celebrated with different names in many   _  . Although it originated  as a religious holiday, it has lost its   _   connection in the United States. It is now   _   largely as a children's holiday, and many American children look forward to it for days and weeks beforehand.
The orange pumpkin,   harvested   at this time of the year, is hollowed  out, a funny fact cut into it, and a   _   is placed inside as a decoration in the window. City folks, nowadays, sometimes use paper pumpkins for   _  .
Some years ago, the holiday was celebrated by   dressing up   in strange and frightening clothes and   _   tricks on one's neighbors and friends, such as ringing door bells, throwing bits of corn on the window panes , and in other ways of making little   _  .
More recently, children come to the door to have friends and neighbors   admire   their clothes and guess   _   they are behind the strange masks and receive treats of candy, fruit or cookies. They say ""Trick or Treat"", which   _   ""I will play a trick on you   _   you don't want to give me a treat."" This practice has even more recently   _   into an important international activity. Instead of or along with candy, the children   _   money for UNICEF(United Nations International Children's Emergency Fund). This   _   collection of money by children for needy children throughout the world is known as ""UNICEF Trick or Treat"".   _   only recently, it   results in   several million dollars each year being contributed to UNICEF. The collection box is   _  , reminding people of the   _  .",4
